id_transaccion,fecha,canal_id,monto,estado
1001,2026-06-16 00:00:00,102,2521.82,EXITOSO
1002,2026-06-16 00:01:30,102,1877.73,EXITOSO
1003,2026-06-16 00:01:30,105,2210.85,EXITOSO
1004,2026-06-16 00:03:00,104,602.77,EXITOSO
1005,2026-06-16 00:04:30,104,54.76,EXITOSO
1006,2026-06-16 00:04:30,104,1811.28,EXITOSO
1007,2026-06-16 00:06:00,103,336.1,EXITOSO
1008,2026-06-16 00:07:30,106,1638.77,EXITOSO
1009,2026-06-16 00:07:30,105,958.52,EXITOSO
1010,2026-06-16 00:09:00,103,874.8,EXITOSO
1011,2026-06-16 00:09:00,102,1239.51,EXITOSO
1012,2026-06-16 00:09:00,103,250.29,EXITOSO
1013,2026-06-16 00:09:00,106,1189.81,EXITOSO
1014,2026-06-16 00:10:30,101,367.03,EXITOSO
1015,2026-06-16 00:12:00,105,2749.81,EXITOSO
1016,2026-06-16 00:12:00,103,2467.44,EXITOSO
1017,2026-06-16 00:12:00,105,1287.61,EXITOSO
1018,2026-06-16 00:12:00,106,685.23,EXITOSO
1019,2026-06-16 00:13:30,101,2619.03,EXITOSO
1020,2026-06-16 00:13:30,104,836.5,EXITOSO
1021,2026-06-16 00:13:30,101,285.08,EXITOSO
1022,2026-06-16 00:15:00,101,2976.42,EXITOSO
1023,2026-06-16 00:15:00,105,58.73,EXITOSO
1024,2026-06-16 00:16:30,104,695.03,EXITOSO
1025,2026-06-16 00:16:30,105,2912.79,EXITOSO
1026,2026-06-16 00:18:00,104,2253.79,EXITOSO
1027,2026-06-16 00:19:30,104,1238.99,EXITOSO
1028,2026-06-16 00:19:30,102,1208.52,EXITOSO
1029,2026-06-16 00:19:30,102,1908.09,EXITOSO
1030,2026-06-16 00:21:00,106,102.61,EXITOSO
1031,2026-06-16 00:21:00,106,2028.16,EXITOSO
1032,2026-06-16 00:21:00,104,2745.12,EXITOSO
1033,2026-06-16 00:22:30,106,1279.55,EXITOSO
1034,2026-06-16 00:22:30,103,1134.44,EXITOSO
1035,2026-06-16 00:24:00,106,1630.38,EXITOSO
1036,2026-06-16 00:25:30,103,852.12,EXITOSO
1037,2026-06-16 00:27:00,103,977.22,EXITOSO
1038,2026-06-16 00:27:00,104,784.06,EXITOSO
1039,2026-06-16 00:27:00,103,1889.27,EXITOSO
1040,2026-06-16 00:27:00,101,361.11,EXITOSO
1041,2026-06-16 00:28:30,103,1634.06,EXITOSO
1042,2026-06-16 00:30:00,101,2540.6,EXITOSO
1043,2026-06-16 00:30:00,101,697.88,EXITOSO
1044,2026-06-16 00:30:00,101,807.38,EXITOSO
1045,2026-06-16 00:30:00,101,686.37,EXITOSO
1046,2026-06-16 00:31:30,103,2143.22,EXITOSO
1047,2026-06-16 00:31:30,101,285.74,EXITOSO
1048,2026-06-16 00:33:00,104,600.27,EXITOSO
1049,2026-06-16 00:33:00,103,69.43,EXITOSO
1050,2026-06-16 00:33:00,105,1881.77,EXITOSO
1051,2026-06-16 00:33:00,104,1792.12,EXITOSO
1052,2026-06-16 00:34:30,106,104.77,EXITOSO
1053,2026-06-16 00:34:30,105,2896.25,EXITOSO
1054,2026-06-16 00:36:00,102,2663.02,EXITOSO
1055,2026-06-16 00:36:00,103,1039.32,EXITOSO
1056,2026-06-16 00:36:00,104,932.33,EXITOSO
1057,2026-06-16 00:36:00,102,2401.86,EXITOSO
1058,2026-06-16 00:37:30,105,1640.84,EXITOSO
1059,2026-06-16 00:37:30,106,1280.34,EXITOSO
1060,2026-06-16 00:37:30,106,2590.97,EXITOSO
1061,2026-06-16 00:39:00,106,1816.01,EXITOSO
1062,2026-06-16 00:39:00,103,2363.54,EXITOSO
1063,2026-06-16 00:39:00,102,2500.07,EXITOSO
1064,2026-06-16 00:40:30,103,2459.99,EXITOSO
1065,2026-06-16 00:40:30,106,2281.45,EXITOSO
1066,2026-06-16 00:42:00,101,960.32,EXITOSO
1067,2026-06-16 00:42:00,103,1494.96,EXITOSO
1068,2026-06-16 00:43:30,102,1147.58,EXITOSO
1069,2026-06-16 00:43:30,103,1292.21,EXITOSO
1070,2026-06-16 00:43:30,102,737.31,EXITOSO
1071,2026-06-16 00:43:30,103,607.44,EXITOSO
1072,2026-06-16 00:45:00,104,944.69,EXITOSO
1073,2026-06-16 00:45:00,104,2990.36,EXITOSO
1074,2026-06-16 00:45:00,105,2102.65,EXITOSO
1075,2026-06-16 00:46:30,101,2717.3,EXITOSO
1076,2026-06-16 00:46:30,101,950.62,EXITOSO
1077,2026-06-16 00:46:30,102,1363.17,EXITOSO
1078,2026-06-16 00:46:30,103,2711.6,EXITOSO
1079,2026-06-16 00:48:00,102,426.86,EXITOSO
1080,2026-06-16 00:49:30,106,2231.42,EXITOSO
1081,2026-06-16 00:51:00,105,1775.74,EXITOSO
1082,2026-06-16 00:51:00,104,1912.1,EXITOSO
1083,2026-06-16 00:51:00,102,164.08,EXITOSO
1084,2026-06-16 00:52:30,105,105.97,EXITOSO
1085,2026-06-16 00:52:30,103,1765.73,EXITOSO
1086,2026-06-16 00:54:00,102,2087.56,EXITOSO
1087,2026-06-16 00:54:00,105,2343.24,EXITOSO
1088,2026-06-16 00:54:00,101,2517.88,EXITOSO
1089,2026-06-16 00:55:30,103,2266.68,EXITOSO
1090,2026-06-16 00:55:30,104,2948.67,EXITOSO
1091,2026-06-16 00:55:30,102,1944.56,EXITOSO
1092,2026-06-16 00:55:30,106,2273.56,EXITOSO
